Video ID,Session,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
yGLEpVbJm40,5,1389338,34467,8220,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,5,44926,251,6,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,5,1295,308,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,5,231352,4471,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,5,10455,322,22,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,5,144268,3553,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,5,51486,2832,88,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,5,36987,3763,20,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,5,150645,2163,156,0,Entertainment,2024-10-21T22:35:01Z
_AlZYvis4uE,5,307092,2246,108,0,Entertainment,2024-10-21T22:21:01Z
Nks9y_kpofE,5,24348,361,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,5,34695,5178,176,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,5,4382,861,13,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,5,877,9,2,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,5,22613,1115,100,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,5,12745,1659,30,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,6,280162,1323,1,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,6,99000,583,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,6,655745,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,6,77061,8307,1483,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,6,64619,2038,58,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,6,64794,1857,230,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,6,5840,205,51,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,6,72816,920,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,6,113074,1369,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,6,12182,516,3,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,6,46341,4720,247,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,6,123338,7160,127,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,6,9462,75,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,6,15775,3176,287,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,6,8509,757,112,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,6,40803,5669,91,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,6,152294,1194,170,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,6,444,23,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,6,470,12,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,6,1011973,158729,2760,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,6,77917,365,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,6,167471,816,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,6,20253,438,7,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,6,28189,1085,9,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,6,82745,398,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,6,243245,636,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,6,10103,710,75,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,6,3006,259,4,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,6,635786,15069,219,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,6,13731,390,52,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,6,2203789,31330,35,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,6,1954,244,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,6,51433,388,59,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,6,6503,38,56,0,News & Politics,2024-10-21T13:03:08Z
yGLEpVbJm40,6,1463322,35471,8436,0,News & Politics,2024-10-21T13:01:10Z
lKwo4S2VA3c,6,45184,252,6,0,News & Politics,2024-10-21T13:01:47Z
T0sPOtCwXio,6,1333,315,15,0,Gaming,2024-10-21T12:55:26Z
6iG4Zp8HLOA,6,232129,4480,0,0,News & Politics,2024-10-21T12:52:07Z
E-TA8hJIUk8,6,10560,322,22,0,Sports,2024-10-21T12:40:42Z
gE4eK3He-7w,6,146011,3574,0,0,News & Politics,2024-10-21T20:09:19Z
qWDt3sCTGFg,6,52831,2885,89,0,Entertainment,2024-10-21T12:30:46Z
zZsgnPmP6lg,6,37102,3773,20,0,Gaming,2024-10-21T12:16:34Z
PYJ4do-OZAQ,6,155562,2225,206,0,Entertainment,2024-10-21T22:35:01Z
_AlZYvis4uE,6,312473,2267,131,0,Entertainment,2024-10-21T22:21:01Z
Nks9y_kpofE,6,24383,362,2,0,Gaming,2024-10-21T12:08:52Z
sMY2RlXdreo,6,35858,5300,176,0,Music,2024-10-21T12:01:12Z
u5us4Y5Q4AY,6,4623,905,13,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,6,949,9,2,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,6,22749,1121,101,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,6,12855,1666,30,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,7,283305,1354,2,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,7,99441,584,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,7,660112,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,7,78713,8420,1508,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,7,66117,2066,65,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,7,67271,1896,245,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,7,6039,207,52,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,7,73418,923,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,7,113771,1368,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,7,12291,518,3,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,7,48497,4885,261,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,7,123910,7168,128,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,7,9473,75,0,0,Sports,2024-10-21T16:22:16Z
